,trade_date,open,low,close,pre_close,change,high
0,20190524,3.78,3.76,3.79,3.79,0.0,3.81
1,20190523,3.8,3.74,3.79,3.81,-0.02,3.84
2,20190522,3.8,3.79,3.81,3.8,0.01,3.83
3,20190521,3.78,3.78,3.8,3.82,-0.02,3.83
4,20190520,3.73,3.71,3.82,3.73,0.09,3.87
5,20190517,3.77,3.73,3.73,3.78,-0.05,3.78
6,20190516,3.73,3.71,3.78,3.75,0.03,3.81
7,20190515,3.7,3.69,3.75,3.68,0.07,3.8
8,20190514,3.68,3.68,3.68,3.71,-0.03,3.71
9,20190513,3.72,3.65,3.71,3.75,-0.04,3.78
10,20190510,3.71,3.7,3.75,3.69,0.06,3.77
11,20190509,3.71,3.69,3.69,3.72,-0.03,3.73
12,20190508,3.74,3.71,3.72,3.78,-0.06,3.75
13,20190507,3.79,3.75,3.78,3.78,0.0,3.8
14,20190506,3.85,3.75,3.78,3.89,-0.11,3.85
15,20190430,3.89,3.85,3.89,3.89,0.0,3.9
16,20190429,3.87,3.86,3.89,3.86,0.03,3.91
17,20190426,3.87,3.84,3.86,3.89,-0.03,3.89
18,20190425,3.9,3.87,3.89,3.91,-0.02,3.91
19,20190424,3.96,3.88,3.91,3.95,-0.04,3.96
20,20190423,3.93,3.92,3.95,3.93,0.02,3.97
21,20190422,4.04,3.92,3.93,4.03,-0.1,4.05
22,20190419,4.01,4.0,4.03,4.0,0.03,4.04
23,20190418,4.02,3.98,4.0,4.03,-0.03,4.05
24,20190417,4.0,3.96,4.03,4.0,0.03,4.06
25,20190416,3.88,3.86,4.0,3.89,0.11,4.01
26,20190415,3.91,3.89,3.89,3.87,0.02,3.97
27,20190412,3.87,3.85,3.87,3.86,0.01,3.89
28,20190411,3.86,3.84,3.86,3.86,0.0,3.88
29,20190410,3.86,3.83,3.86,3.87,-0.01,3.88
30,20190409,3.89,3.86,3.87,3.9,-0.03,3.9
31,20190408,3.91,3.87,3.9,3.89,0.01,3.96
32,20190404,3.85,3.84,3.89,3.84,0.05,3.89
33,20190403,3.81,3.79,3.84,3.83,0.01,3.85
34,20190402,3.84,3.81,3.83,3.83,0.0,3.86
35,20190401,3.79,3.78,3.83,3.77,0.06,3.85
36,20190329,3.71,3.71,3.77,3.71,0.06,3.79
37,20190328,3.72,3.69,3.71,3.73,-0.02,3.73
38,20190327,3.73,3.72,3.73,3.72,0.01,3.75
39,20190326,3.75,3.71,3.72,3.73,-0.01,3.75
40,20190325,3.78,3.73,3.73,3.8,-0.07,3.79
41,20190322,3.8,3.78,3.8,3.79,0.01,3.82
42,20190321,3.8,3.79,3.79,3.79,0.0,3.82
43,20190320,3.81,3.77,3.79,3.81,-0.02,3.82
44,20190319,3.84,3.8,3.81,3.84,-0.03,3.85
45,20190318,3.79,3.77,3.84,3.79,0.05,3.84
46,20190315,3.79,3.78,3.79,3.79,0.0,3.82
47,20190314,3.8,3.77,3.79,3.8,-0.01,3.83
48,20190313,3.83,3.78,3.8,3.83,-0.03,3.84
49,20190312,3.79,3.79,3.83,3.79,0.04,3.87
50,20190311,3.74,3.74,3.79,3.75,0.04,3.81
51,20190308,3.87,3.75,3.75,3.89,-0.14,3.87
52,20190307,3.93,3.88,3.89,3.93,-0.04,3.93
53,20190306,3.89,3.88,3.93,3.9,0.03,3.93
54,20190305,3.9,3.88,3.9,3.92,-0.02,3.92
55,20190304,3.92,3.92,3.92,3.9,0.02,4.0
56,20190301,3.85,3.82,3.9,3.84,0.06,3.91
57,20190228,3.88,3.83,3.84,3.88,-0.04,3.88
58,20190227,3.84,3.83,3.88,3.84,0.04,3.94
59,20190226,3.87,3.82,3.84,3.88,-0.04,3.9
60,20190225,3.7,3.7,3.88,3.69,0.19,3.9
61,20190222,3.66,3.64,3.69,3.67,0.02,3.7
62,20190221,3.68,3.66,3.67,3.68,-0.01,3.7
63,20190220,3.69,3.66,3.68,3.68,0.0,3.7
64,20190219,3.69,3.67,3.68,3.7,-0.02,3.72
65,20190218,3.67,3.65,3.7,3.65,0.05,3.71
66,20190215,3.69,3.64,3.65,3.7,-0.05,3.7
67,20190214,3.72,3.69,3.7,3.72,-0.02,3.72
68,20190213,3.69,3.68,3.72,3.68,0.04,3.72
69,20190212,3.67,3.66,3.68,3.67,0.01,3.7
70,20190211,3.66,3.63,3.67,3.68,-0.01,3.67
71,20190201,3.69,3.65,3.68,3.68,0.0,3.69
72,20190131,3.64,3.63,3.68,3.63,0.05,3.7
73,20190130,3.64,3.62,3.63,3.64,-0.01,3.65
74,20190129,3.62,3.6,3.64,3.61,0.03,3.65
75,20190128,3.63,3.61,3.61,3.62,-0.01,3.66
76,20190125,3.6,3.59,3.62,3.59,0.03,3.63
77,20190124,3.57,3.56,3.59,3.57,0.02,3.59
78,20190123,3.56,3.55,3.57,3.56,0.01,3.58
79,20190122,3.57,3.55,3.56,3.57,-0.01,3.58
80,20190121,3.57,3.56,3.57,3.56,0.01,3.59
81,20190118,3.54,3.53,3.56,3.53,0.03,3.58
82,20190117,3.53,3.51,3.53,3.52,0.01,3.55
83,20190116,3.52,3.5,3.52,3.52,0.0,3.53
84,20190115,3.51,3.5,3.52,3.5,0.02,3.53
85,20190114,3.53,3.49,3.5,3.53,-0.03,3.54
86,20190111,3.53,3.52,3.53,3.52,0.01,3.54
87,20190110,3.54,3.51,3.52,3.55,-0.03,3.55
88,20190109,3.54,3.54,3.55,3.54,0.01,3.58
89,20190108,3.57,3.52,3.54,3.57,-0.03,3.58
90,20190107,3.59,3.55,3.57,3.58,-0.01,3.6
91,20190104,3.53,3.52,3.58,3.55,0.03,3.59
92,20190103,3.54,3.52,3.55,3.54,0.01,3.57
93,20190102,3.62,3.53,3.54,3.61,-0.07,3.63
94,20181228,3.64,3.61,3.61,3.63,-0.02,3.66
95,20181227,3.63,3.63,3.63,3.63,0.0,3.66
96,20181226,3.61,3.6,3.63,3.61,0.02,3.63
97,20181225,3.58,3.56,3.61,3.59,0.02,3.63
98,20181224,3.56,3.55,3.59,3.57,0.02,3.6
99,20181221,3.54,3.52,3.57,3.56,0.01,3.57
100,20181220,3.58,3.52,3.56,3.58,-0.02,3.58
101,20181219,3.6,3.57,3.58,3.59,-0.01,3.6
102,20181218,3.59,3.57,3.59,3.61,-0.02,3.61
103,20181217,3.58,3.57,3.61,3.58,0.03,3.61
104,20181214,3.6,3.58,3.58,3.6,-0.02,3.6
105,20181213,3.59,3.57,3.6,3.59,0.01,3.62
106,20181212,3.58,3.57,3.59,3.57,0.02,3.59
107,20181211,3.57,3.56,3.57,3.57,0.0,3.58
108,20181210,3.59,3.56,3.57,3.6,-0.03,3.6
109,20181207,3.61,3.59,3.6,3.61,-0.01,3.61
110,20181206,3.63,3.59,3.61,3.64,-0.03,3.64
111,20181205,3.63,3.63,3.64,3.66,-0.02,3.65
112,20181204,3.65,3.64,3.66,3.65,0.01,3.66
113,20181203,3.64,3.63,3.65,3.61,0.04,3.67
114,20181130,3.58,3.58,3.61,3.59,0.02,3.61
115,20181129,3.61,3.58,3.59,3.6,-0.01,3.62
116,20181128,3.58,3.58,3.6,3.58,0.02,3.62
117,20181127,3.61,3.58,3.58,3.6,-0.02,3.61
118,20181126,3.59,3.59,3.6,3.59,0.01,3.62
119,20181123,3.6,3.58,3.59,3.61,-0.02,3.62
120,20181122,3.62,3.59,3.61,3.61,0.0,3.62
121,20181121,3.59,3.58,3.61,3.6,0.01,3.62
122,20181120,3.63,3.6,3.6,3.64,-0.04,3.63
123,20181119,3.61,3.6,3.64,3.6,0.04,3.64
124,20181116,3.6,3.58,3.6,3.6,0.0,3.62
125,20181115,3.57,3.57,3.6,3.58,0.02,3.6
126,20181114,3.62,3.56,3.58,3.62,-0.04,3.62
127,20181113,3.58,3.58,3.62,3.61,0.01,3.63
128,20181112,3.59,3.58,3.61,3.59,0.02,3.62
129,20181109,3.66,3.59,3.59,3.67,-0.08,3.66
130,20181108,3.68,3.66,3.67,3.66,0.01,3.69
131,20181107,3.67,3.65,3.66,3.66,0.0,3.69
132,20181106,3.68,3.64,3.66,3.68,-0.02,3.68
133,20181105,3.69,3.66,3.68,3.71,-0.03,3.7
134,20181102,3.7,3.68,3.71,3.67,0.04,3.72
135,20181101,3.72,3.67,3.67,3.72,-0.05,3.73
136,20181031,3.74,3.7,3.72,3.74,-0.02,3.75
137,20181030,3.7,3.7,3.74,3.7,0.04,3.75
138,20181029,3.71,3.67,3.7,3.71,-0.01,3.75
139,20181026,3.71,3.68,3.71,3.71,0.0,3.73
140,20181025,3.63,3.62,3.71,3.68,0.03,3.71
141,20181024,3.62,3.62,3.68,3.62,0.06,3.73
142,20181023,3.68,3.61,3.62,3.7,-0.08,3.69
143,20181022,3.62,3.61,3.7,3.61,0.09,3.72
144,20181019,3.5,3.49,3.61,3.52,0.09,3.62
145,20181018,3.53,3.51,3.52,3.54,-0.02,3.55
146,20181017,3.54,3.5,3.54,3.51,0.03,3.55
147,20181016,3.51,3.5,3.51,3.5,0.01,3.54
148,20181015,3.54,3.5,3.5,3.55,-0.05,3.54
149,20181012,3.49,3.48,3.55,3.5,0.05,3.55
150,20181011,3.54,3.46,3.5,3.6,-0.1,3.56
151,20181010,3.6,3.58,3.6,3.59,0.01,3.62
